property_type|rent_type|location,price,n_rooms,n_bath,surface,details,url,metrocuadrado_index
"Apartamento en Arriendo, CHICO Bogotá D.C..",$4.200.000,1,2,71.0 m2,Arriendo lindo y moderno apartamento de setenta y uno mts en sector reconocido de ciudad cerca a sitios de gran interes social con dotacion de línea blanca torre lavadora secadoramicroondasnevera lavaplatos electricotriturador una habitacion con bano completo y walking closet  espacio de sala comedor con salida a balconestudio al lado de zona social con division y mueble en madera cocina abierta con meson auxiliar estufa electrica vitrificada con cuatro hornillas   super claro  moderno  dos pa,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-1-habitaciones-2-banos-2-garajes/79-M3461,78.7
"Apartamento en Venta Y Arriendo, PARDO RUBIO Bogotá D.C..",$3.000.000,1,2,70.0 m2,"ACOGEDOR, ILUMINADO,  AIRE PURO,   CON VERDE PAISAJE A LA VISTA Y CON TERRAZA. SE ARRIENDA AMOBLADO, PARA VENTA CON  OPCIÓN  AMOBLADO,  SI ASÍ LO QUIEREN. CONJUNTO CON GYM,  CANCHA DE SQUASH Y VIGILANCIA 24 HORAS.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-1-habitaciones-2-banos-1-garajes/2469-M2379969,62.9
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$3.000.000,1,2,80.0 m2,"Amoblado acogedor moderno iluminado con excelentes muebles y enceres, en excelente ubicación buenas vias de acesso, cerca al Parque de la 93 y zona comercial, canon incluye administracion, Internet y Cable BYD798",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-2-banos-1-garajes/9826-M2379971,74.2
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$4.300.000,1,1,70.0 m2,"Hermoso apto tipo estudio como nuevo, moderno, 1 alcoba, 1 baño,, excelente acabados, Sala para ejecutivos grande dotada. Con baños y cocineta.Lavandería  parqeadero de visitantes, sala tv,  excelente ubicación, admiralo.			",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/462-M2378096,84.1
"Apartamento en Arriendo, EMAUS Bogotá D.C..",$2.100.000,1,2,63.0 m2," Bernardo Escobar Renta Super apartamento AMOBLADO bien ubicado en Chapinero alto para estrenar muebles y toda la dotación, con 63 metros cuadrados y una sola habitación hacen de este apto la mejor elección para ejecutivos, personas solas, estudiantes o parejas recién casadas, antes de tomar tomar una decision vean esta y se convencerán, cerca al centro financiero de bogota, supermercados y la gran mencionada zona G, universidades y centros de formación. buenas vias de acceso, cuanta con una terraza comunal con BBQ.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-emaus-1-habitaciones-2-banos-1-garajes/5535-M2377213,54.0
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$5.500.000,1,1,70.0 m2,"Arriendo hermoso penthouse de una habitación tipo loft, terraza de 33 M2 con zona húmeda, sauna jacuzzi privados, totalmente amoblado con muebles de diseñador. Administración incluida. ZS-740",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-1-habitaciones-1-banos-2-garajes/9914-M2376454,70.7
"Apartamento en Arriendo, CONTADOR Bogotá D.C..",$2.700.000,1,2,90.0 m2,"Moderno apartamento dúplex ubicado en una de las zonas de mayor demanda del norte de Bogotá. Posee amplios e iluminados espacios, además de una fantástica vista a los cerros, por lo que recibe el sol durante el dia. totalmente amoblado y equipado con cocina, nevera, lavadora-secadora, calentador a gas, cocina a gas, horno, televisores. Cuenta con una amplia terraza, garaje cubierto. Admon incluida. RM #19-732
",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-contador-1-habitaciones-2-banos-1-garajes/691-M2376152,58.5
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$3.500.000,1,2,64.0 m2,"Hermoso apartamento duplex con 1 habitación, techo a doble altura, 2 baños jacuzzi, terraza de 12 mts, cocina abierta, zona de lavandería, 2 garajes en linea.
El edificio cuenta con gimnasio, terraza comunal para eventos y salon con mesa de ping pong.
Con opción de arriendo sin amoblar.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-1-habitaciones-2-banos-2-garajes/4274-M2375229,60.5
"Apartamento en Venta Y Arriendo, CHICO NORTE Bogotá D.C..",$3.200.000,1,2,70.0 m2,"Vendo o arriendo amoblado moderno y lindo apartamento. Ubicado en una zona muy exclusiva de la ciudad. Cerca a centros comerciales, restaurantes y zona de recreación. ",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-1-habitaciones-2-banos-2-garajes/10301-M2373472,63.8
"Apartamento en Arriendo, BELLAVISTA Bogotá D.C..",$3.500.000,1,2,77.0 m2,Este apartamento amoblado y remodelado al ingresar nos encontramos con una terraza y a su derecha esta la sala comedor en un solo ambiente que se integra con la cocina tipo americano y el baño social. Siguiendo con nuestro recorrido a la izquierda de la terraza encontramos una habitación muy amplia con su baño y un espacio para trabajar. El apartamento se complementa con 1 cómodo garaje,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bellavista-1-habitaciones-2-banos-1-garajes/2671-6893,82.6
"Apartamento en Arriendo, RINCON DEL CHICO Bogotá D.C..",$3.200.000,1,2,84.0 m2,"mvu apartamento amoblado por peridos cortos, de una alcoba, duplex, incluidos los servicios e internet",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-rincon-del-chico-1-habitaciones-2-banos-1-garajes/2265-M2368228,40.4
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$3.500.000,1,1,64.0 m2,"Este moderno apartamento está ubicado en una tranquila calle a pasos del Parque del Chicó. La cocina semi abierta, está al lado de la sala comedor que se caracterizan por ser muy iluminados. La alcoba es muy amplia, con salida a una terraza muy agradable. El apartamento cuenta con un baño de diseño de muy buen tamaño. Adicionalmente la propiedad tiene zona de lavandería. El apartamento se complementa con un parqueadero. El edificio tiene gimnasio.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/2671-6846,81.1
"Apartamento en Arriendo, SAN PATRICIO Bogotá D.C..",$2.897.000,1,2,80.0 m2,"Al ingresar al apartamento, encontramos una amplia y abierta zona social con un balcón. La cocina, abierta, moderna, se integra perfectamente a esta zona. Compartiendo la zona social, encontramos el family room, donde se encuentra la televisión. El apartamento cuenta con baño social. En la zona privada encontramos la habitación, con closet y baño en suite. El apartamento tiene una decoración moderna y se encuentra totalmente dotado. Tiene 2 parqueaderos con servidumbre y un pequeño deposito.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-2-banos-2-garajes/2671-6830,32.3
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$4.300.000,1,1,70.0 m2,"Lindo apto tipo estudio como nuevo, moderno, 1 alcoba, 1 baño,, excelente acabados, sala para ejecutivos grande dotada. Con baños y cocineta. Lavandería parqeadero de visitantes, sala tv, excelente ubicación.
Comunicarse con Natalia Tovar al tres diez y ocho tres treinta ochenta y cinco setenta y seis",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/815-M2365963,70.6
"Apartamento en Arriendo, CHICO Bogotá D.C..",$4.200.000,1,2,70.0 m2,"Edificio de 8 años, exterior con buena vista y luz. Cuenta con planta eléctrica, caldera, sala de juntas, teatrino, gimnasio, cava de vinos, cuarto de escoltas, cancha de squash, salón comunal, vigilancia 24 horas y parqueadero de visitantes.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-1-habitaciones-2-banos-2-garajes/3390-M2365566,53.9
"Apartamento en Arriendo, CHICO Bogotá D.C..",$2.900.000,1,2,75.0 m2,"Apartamento tipo Suite con amenidades y muebles de lujo. Acabados de diseño para el huesped exigente. Ideal para extranjeros que desean un lugar estrategico, seguro y moderno. A pasos del parque virrey, parque de la 93, Zona Rosa y centros comercial y restaurantes. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-1-habitaciones-2-banos-1-garajes/MC2364886,53.0
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$4.300.000,1,1,70.0 m2,"Hermoso apto tipo estudio como nuevo, moderno, 1 alcoba, 1 baño,, excelente acabados, Sala para ejecutivos grande dotada. Con baños y cocineta.Lavandería  parqeadero de visitantes, sala tv,  excelente ubicación, admiralo.			",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/462-M2364733,60.2
"Apartamento en Arriendo, EMAUS Bogotá D.C..",$2.700.000,1,1,79.0 m2,"Lindo apartamento AMOBLADO Y DOTADO de 1 Alcoba con baño, sala-comedor con chimenea, cocina, zona de lavandería, cuarto y baño de servicio, 1 garaje, Modernizado, AMOBLADO Y DOTADO, ideal para ejecutivos.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-emaus-1-habitaciones-1-banos-1-garajes/2355-M2363328,47.1
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$3.200.000,1,2,70.0 m2,"Apartaestudio de 70 mts cuenta con una habitación con closet y baño privado, un baño social, cocina integral abierta a gas, calentador a gas, zona de lavandería en la cocina, sala comedor, estudio, chimenea, cortinas, balcón, dos garajes en línea cubiertos y un depósito. El edifico cuenta con ascensor, planta eléctrica de suplencia total, salón social, parqueadero de visitantes, recepción y  seguridad privada.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-1-habitaciones-2-banos-2-garajes/10366-4695400,66.5
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$3.500.000,1,2,67.0 m2,"Hermoso apartaestudio amoblado!! pisos en madera, lavadora, secadora, lavadora de platos, el edifiico tiene gimnasio.Moderno!! 
Genial!!
",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-2-banos-2-garajes/5532-M2363208,81.4
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$3.500.000,1,1,63.0 m2,"Acogedor apartamento amoblado, en tercer piso, muy iluminado, piso en madera, zona social muy amplia, cocina equipada, baño recien remodelado. Un garaje cubierto. Ubicado cerca de la calle 100 entre carrera 11 y carrera séptima,  El canon incluye, servicios, internet y tv  por cable. Mayor información Nayive Rodriguez",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-1-habitaciones-1-banos-1-garajes/490-M2363135,55.8
"Apartamento en Venta Y Arriendo, CHICO NORTE Bogotá D.C..",$4.000.000,1,1,66.0 m2,"HERMOSO APARTAMENTO COMPLETAMENTE LOFT, EN UNA DE LAS MEJORES ZONAS DE BOGOTA, EXCELENTE EDIFICIO.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/2489-M2359815,90.4
"Apartamento en Arriendo, SANTA BARBARA ALTA Bogotá D.C..",$3.500.000,1,3,61.32 m2,"ALCOBA, SALACOMEDOR, COCINA, BANO dos, BANO PRINCIPAL, ZONA DE ROPAS LAVANDERIA, PARQUEADERO SENCILLO CUBIERTO, PARA ESTRENAR, AMOBLADO, CLOSET uno, EDIFICIO, CITOFONIA, PUERTA DE SEGURIDAD, CORTINAS, PISO NÂ  uno, NUEVO, TIPO COCINA INTEGRAL, TIPO CALENTADOR GAS NATURAL, SUMINISTRO DE GAS RED, TIPO DE PISO MADERA, ESTUFA GAS NATURAL",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-alta-1-habitaciones-3-banos-1-garajes/2-27415,56.3
"Apartamento en Arriendo, SANTA BARBARA ALTA Bogotá D.C..",$3.800.000,1,3,80.96 m2,"ALCOBA, SALACOMEDOR, COCINA, BANO dos, BANO PRINCIPAL, PARQUEADERO SENCILLO CUBIERTO, PARA ESTRENAR, AMOBLADO, CLOSET uno, EDIFICIO, CITOFONIA, PUERTA DE SEGURIDAD, CORTINAS, PISO NÂ  uno, NIVELES uno, BLACKOUT, TIPO COCINA INTEGRAL, TIPO CALENTADOR GAS NATURAL, SUMINISTRO DE GAS RED, TIPO DE PISO MADERA, ESTUFA GAS NATURAL",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-alta-1-habitaciones-3-banos-1-garajes/2-27418,62.1
"Apartamento en Venta Y Arriendo, CHICO Bogotá D.C..",$2.800.000,1,2,64.0 m2,"LINDISIMO APARTAESTUDIO COMPLETAMENTE AMOBLADO O SIN AMOBLAR,  PISO 3, AL LADO DEL PARQUE EL VIRREY, RECIBE SOL DE LA MAÑANA CON VISTA ORIENTE.  
UNA HABITACIÓN AMPLIA CON 3 CLOSET, BAÑO GRANDE PRIVADO, ZONA DE LAVANDERÍA INDEPENDIENTE, BAÑO SOCIAL, COCINA ABIERTA, SALA Y MESA DE COMEDOR. BALCON MUY AMPLIO DE 9 METROS.

EDIFICIO CUENTA CON SALON DE EJECUTIVOS

INF DORIS GUZMAN C
TRESCIENTOS CATORCE, TRESCIENTOS CINCUENTA Y NUEVE, CINCUENTA Y DOS, VEINTICINCO",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-1-habitaciones-2-banos-1-garajes/883-M2351926,58.1
"Apartamento en Arriendo, Bogotá D.C..",$3.500.000,1,1,80.0 m2,Un apartamento muy bonito amoblado con una buena ubicación en la ciudad y un buen estrato es grande y con unos muebles muy lindos elegante y sofisticado  ,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-1-habitaciones-1-banos-2-garajes/800-M2354103,69.9
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$2.400.000,1,2,62.0 m2,"Espectacular apartamento AMOBLADO en segundo piso con buenos acabados y excelente iluminación,  baño social, sala comedor con chimenea, cocina semiabierta,  zpna de ropas. Edificio con sauna y gimnasio.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/3241-M2348002,64.5
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$3.000.000,1,2,86.0 m2,"Espectacular apartaestudio en segundo piso exterior con balcón pisos y muebles en madera natural, habitación con walkin closet y baño, mueble empotrado de pared a pared, salida a balcón. Sala comedor con salida a balcón, baño social, cocina cerrada, zona de lavandería y depósito de buen tamaño. Se arrienda semi amoblado (con sala, comedor, nevera), o sin amoblar.
Valor canon semi-amoblado: $3'400.000 Incluida administración
Valor canon sin amoblar: $3'000.000 incluida administración
Edificio cuenta con vigilancia 24 horas, Lobby tipo hotel, jardines interiores, CCTV, Salón de reuniones.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-1-habitaciones-2-banos-2-garajes/3241-M2348031,54.6
"Apartamento en Venta Y Arriendo, CHICO NORTE Bogotá D.C..",$3.670.000,1,2,65.0 m2,"FAVOR NO COMISIONISTAS. Moderno, acogedor, cálido y exclusivo apartamento ubicado a pasos del Parque 93, restaurantes, bancos y vida nocturna. El edificio incorpora un exquisito concepto de diseño y además ofrece servicio de mucamas, área de yoga, gimnasio, turco, masajes, lobby lounge, terraza social y vista panorámica. El inmueble cuenta con una alcoba, sala, comedor, cocina abierta tipo americano, dos baños, balcón y un garaje. Acabados de primera. Incluye Internet, TV Cable y telefonía loca",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-1-habitaciones-2-banos-1-garajes/3422-1225L13,81.0
"Apartamento en Arriendo, CHICO Bogotá D.C..",$2.800.000,1,2,64.0 m2,"HERMOSO APARTAESTUDIO AMOBLADO, VISTA LATERAL RECIBE SOL DE MAÑANA, CON UNA HABITACIÓN MUY AMPLIA Y BAÑO PRIVADO GRANDE, SALA Y COMEDOR, CON BALCÓN AMPLIO, BAÑO SOCIAL, COCINA ABIERTA CON MESON DE COMEDOR, PISOS EN MADERA, ZONA DE LAVANDERIA INDEPENDIENTE.  CON UN PARQUEADERO.

CANON MAS ADMINISTRACION $3.500.000

INF DORIS GUZMAN C
TRESCIENTOS CATORCE, TRESCIENTOS CINCUENTA Y NUEVE, CINCUENTA Y DOS, VEINTICINCO",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-1-habitaciones-2-banos-1-garajes/883-M2347135,69.1
"Apartamento en Arriendo, BELLAVISTA Bogotá D.C..",$2.800.000,1,2,70.0 m2,"FG ofrece Apartamento en arriendo barrio Los Rosales con ubicación privilegiada dentro de la ciudad, con fácil acceso por las calles setenta y cinco y cr siete y cinco, con cercanía a clubes Gun y El Nogal, Colegios como el Gimnasio Moderno, Nuevo Gimnasio, Liceo Francés, cercanía al parque Rosales, edificio con óptimas condiciones de seguridad . En el interior del apartamento usted podrá disfrutar de espacios amplios, gran luminosidad en todas sus áreas y sus acabados de última tenden",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bellavista-1-habitaciones-2-banos-2-garajes/73-5575,61.8
"Apartamento en Arriendo, LA CAROLINA Bogotá D.C..",$1.900.000,1,1,71.0 m2,"APARTAMENTO AMOBLADO EN ARRIENDO 71M2, CON EXCELENTE UBICACIÓN EN LA CAROLINA, UNA ALCOBA, BAÑO, COCINA, SALA Y COMEDOR INDEPENDIENTE, CHIMENEA,  ZONA DE LAVANDERIA, GARAJE,  SALÓN COMUNAL Y VIGILANCIA LAS 24 HORAS DEL DÍA.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-carolina-1-habitaciones-1-banos-1-garajes/22-M2344852,62.5
"Apartamento en Arriendo, CHICO Bogotá D.C..",$2.700.000,1,2,64.0 m2,"LINDISIMO APARTAESTUDIO PARA ARRIENDO AMOBLADO, COMPLETAMENTE DOTADO.   VIGENTE A PARTIR DEL  15. DE ABRIL 2019.
EN EXCELENTE SECTOR DE CHICO - VIRREY AL LADO DEL PARQUE  EL VIRREY, 
UNA HABITACIÓN GRANDE, BALCÓN EN SALA Y ALCOBA, EXTERIOR,  CON VISTA,  BAÑO PRIVADO Y DOS CLOSET. BAÑO SOCIAL, COCINA ABIERTA CON MESÓN COMEDOR,  SALA Y COMEDOR Y ZONA DE LAVANDERÍA.

INF DORIS GUZMAN C
TRESCIENTOS CATORCE, TRESCIENTOS CINCUENTA Y NUEVE, CINCUENTA Y DOS, VEINTICINCO",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-1-habitaciones-2-banos-1-garajes/883-M2343787,65.5
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$4.300.000,1,1,70.0 m2,"Hermoso apto tipo estudio como nuevo, moderno, 1 alcoba, 1 baño,, excelente acabados, Sala para ejecutivos grande dotada. Con baños y cocineta.Lavandería  parqeadero de visitantes, sala tv,  excelente ubicación, admiralo.			",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/462-M2343435,73.8
"Apartamento en Arriendo, BELLAVISTA Bogotá D.C..",$2.900.000,1,1,67.0 m2,"Código 485 Rento  en Rosales apartamento amoblado  remodelado, en una excelente zona de la ciudad de Bogota, calle cerrada  super tranquila, cuenta con 67 m2 1 habitacion, 1 baño y 1 parqueadero, piso 5to.

El edificio cuenta con vigilancia las 24 horas del día   ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bellavista-1-habitaciones-1-banos-1-garajes/3553-M2341918,41.2
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$4.300.000,1,1,70.0 m2,"HERMOSO APARTAMENTO AMOBLADO EN ARRIENDO, 70M2,  EXCELENTE UBICACIÓN  EN CHICO CON UNA ALCOBA, BAÑO, SALA COMEDOR, CHIMENEA,  COCINA, ZONA DE LAVANDERÍA, BALCÓN,  GARAJE INDEPENDIENTE, EL EDIFICIO DISPONE DE  ASCENSOR, SALÓN COMUNAL, ZONAS VERDES,  EN CONJUNTO CERRADO Y VIGILANCIA 24 HORAS.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/22-M2340295,71.7
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$4.000.000,1,1,70.0 m2,"Apartamento amoblado, exterior, tipo loft, tiene balcon en la sala/comer, no tiene zona de lavenderia pero el edificio tiene.
Comunicarse con NATALIA TOVAR AL TRES DIEZ Y OCHO TRES TREINTA OCHENTA Y CINCO SETENTA Y SEIS",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/815-M2335258,54.2
"Apartamento en Venta Y Arriendo, CHICO NORTE II Bogotá D.C..",$3.000.000,1,2,70.0 m2,"LINDO APARTAMENTO PARA VENTA Y  O ARRIENDO AMOBLADO, SEGUNDO PISO ALTO, 70 METROS, 1 ALCOBA CON BAÑO, BAÑO SOCIAL, SALA, COMEDOR, COCINA AMERICANA, 1 PARQUEADERO, EXCELENTE UBICACION.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-ii-1-habitaciones-2-banos-1-garajes/990-M2335292,56.4
"Apartamento en Arriendo, BELLAVISTA Bogotá D.C..",$3.500.000,1,2,80.0 m2,"Arriendo espectacular apartamento amoblado en barrio exclusivo de Bogotá, cuenta con una habitación, dos baños, parqueadero, Patio interior con bbq, Patio de lavandería con lavadora y secadora. Contacto Liliana zarate.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bellavista-1-habitaciones-2-banos-1-garajes/2328-M2329613,51.1
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$2.510.000,1,2,63.0 m2,"Apartamento en arriendo en Chico Reservado, totalmente amoblado y acondicionado, exclusivo, área 63 M2, excelente iluminación, muy amplio, moderno, cómodo, cuenta con una habitación con baño y vestier, dos baños, balcón, hall, sala comedor con chimenea, cocina a gas, calentador a gas, pisos en madera granadillo, zona de lavandería, garajes cubiertos e independientes, edificio moderno, cuenta con ascensor, área de BBQ, salón comunal, circuito cerrado de televisión, gimnasio, zonas comunes, zonas",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-1-habitaciones-2-banos-2-garajes/59-21265,59.2
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$3.050.000,1,2,62.0 m2,"Amoblado 63 mts mas balcon, piso 2,  1 habitacion independiente con baño privado, walkin closet y estudio, Baño social, Sala-comedor con balcón amplio Cocina abierta, Zona de ropas independiente, 1 parqueadero. Completamente amoblado y dotado,Edificio con gimnasio, sala de negocios y parqueaderos de visitantes. canon incluida administración. APTS C-DOS
",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-1-habitaciones-2-banos-1-garajes/2412-M2322289,69.7
"Apartamento en Arriendo, SANTA BARBARA ALTA Bogotá D.C..",$3.000.000,1,1,80.0 m2,"Arriendo  suite  de 80  metros apta para oficnas  en santa ana a pocos pasos del la plaza de usaquen y del centro empresarial santa barbara,  ubicado en una de las casa de santa ana, cocina eléctrica.  Cuenta con parqueaderos  Casa de  30 años de construida, con jardines y un vista espectacular. Zona tranquila y exclusiva. Con posibilidad para alquilarse el espacio para oficinas.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-alta-1-habitaciones-1-banos-1-garajes/838-M2318305,70.1
"Apartamento en Arriendo, ANTIGUO COUNTRY Bogotá D.C..",$3.500.000,1,2,66.0 m2,"ARRIENDA GRACE GIL, Espectacular apartamento amoblado en arriendo en el exclusivo sector del Virrey Antiguo Country, piso alto con vista a los cerros, una habitación, dos baños. Ideal para ejecutivos con dotación completa y parqueadero. CONTRATO MÍNIMO POR UN AÑO..CANON INCLUYE ADMINISTRACIÓN.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-1-habitaciones-2-banos-1-garajes/5535-M2360565,80.5
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$4.300.000,1,2,90.0 m2,"ARRIENDA GRACE GIL, hermoso apartamento exterior, moderno, semi-loft, amoblado , ubicado en uno de los sectores mas exclusivos de la ciudad, cerca a vías principales, comercio, parques, bancos, Cuenta con dos parqueaderos propios y el edificio tiene parqueaderos para visitantes. Por estar ubicado en la calle 97 se evitan muchos trancones de bogotá. El canon de arriendo incluye la administración. Contrato mínimo por un año.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-1-habitaciones-2-banos-2-garajes/5535-M2360700,75.9
"Apartamento en Arriendo, ANTIGUO COUNTRY Bogotá D.C..",$2.700.000,1,2,66.0 m2,"MODERNO APARTAMENTO, EXTERIOR CON VISTA. UNA  ALCOBA CON BAÑO PRIVADO, VESTIER Y  BALCÓN,  BAÑO AUXILIAR,  SALA COMEDOR CON BALCÓN,  COCINA A GAS TIPO AMERICANO, ZONA DE ROPAS INDEPENDIENTE, UN GARAJE, NO DEPOSITO. ED. UBICADO EN CALLE CERRADA, AMPLIA RECEPCIÓN, PARQUEADERO PARA VISITANTES, ASCENSOR, TERRAZA BBQ, JUEGOS INFANTILES Y GIMNASIO.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-1-habitaciones-2-banos-1-garajes/93-2581,60.1
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$3.500.000,1,2,86.0 m2,"MODERNO APARTAMENTO AMOBLADO EN EXCELENTE EDIFICIO CON AMPLIA Y ELEGANTE RECEPCIÓN CONSTRUIDO POR CURE.
UNA ALCOBA CON BAÑO Y ESTUDIO CON BAÑO o DOS ALCOBAS CADA UNA CON BAÑO, SALA, COCINA ABIERTA CON COMEDOR, BALCÓN, PISOS EN MADERA, TECHOS ALTOS, ILUMINADO. LAVANDERIA,DOS GARAJES, UN DEPÓSITO.
",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-1-habitaciones-2-banos-2-garajes/2238-M2313956,58.0
"Apartamento en Arriendo, LA CABRERA Bogotá D.C..",$3.000.000,1,2,76.0 m2,"Area 76 mts, semi amoblado, 1 habitacion independiente con baño privado, Baño social, Sale-comedor con chimenea , Estudio,Cocina abierta, Zona de ropas independiente, 2 parqueaderos independientes, Depósito.Piso 5 interior  Semi-amoblado con línea blanca, Pisos en madera,Edificio con parqueaderos de visitantes y sala de reuniones.  canon mas administracion apts c-dos ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-cabrera-1-habitaciones-2-banos-2-garajes/2412-M2313542,65.4
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",$3.500.000,1,2,70.0 m2,"Apartamento duplex para arriendo totalmente amoblado y dotado en Santa Barbara de 70 mts y amplia terraza semi cubierta con BBQ y chimenea de 70 mts. Una alcoba con baño privado y vestier, baño social, sala comedor, estudio con chimenea a gas y cocina en un mismo ambiente. Zona de lavandería, zona para hacer gimnasia y linda vista exterior. Dos garajes independientes y depósito. El canon incluye la administración.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-1-habitaciones-2-banos-2-garajes/920-42149570,62.8
"Apartamento en Arriendo, PLENITUD Bogotá D.C..",$7.300.000,1,2,78.0 m2,"Hermoso y confortable apartamento Amoblado para Arriendo, Ubicado en bello sector de la carolina, Condominio plenitud, a tan solo unas cuadras de parques, vías principales y centro comercial. 78 metros muy bien distribuidos, 1 habitación, 2 baños, Sala comedor, cocina tipo americano, lavadora secadora, 1 garaje. Totalmente remodelado, amplios espacios, luz natural. Valor canon incluida Admón. Aptó para Cortas y largas estadías. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-plenitud-1-habitaciones-2-banos-1-garajes/438-M2306529,67.4
